city,avocado_price
Albany,1.561035503
Atlanta,1.33795858
Baltimore,1.534230769
Boise,1.348136095
Boston,1.530887574
Buffalo,1.51683432
California,1.395325444
Charlotte,1.606035503
Chicago,1.556775148
Cincinnati,1.209201183
Columbus,1.252781065
Dallas,1.085591716
Denver,1.218579882
Detroit,1.276094675
Grand Rapids,1.505
Great Lakes,1.338550296
Harrisburg,1.513284024
Hartford,1.818639053
Houston,1.047928994
Indianapolis,1.313994083
Jacksonville,1.510946746
LasVegas,1.38091716
LosAngeles,1.216005917
Louisville,1.286686391
Miami,1.428491124
Midsouth,1.404763314
Nashville,1.212100592
New Orleans,1.304792899
NewYork,1.727573964
Northeast,1.601923077
New England,1.47739645
Orlando,1.506213018
Philadelphia,1.632130178
Phoenix,1.22443787
Pittsburgh,1.364319527
Plains,1.436508876
Portland,1.317721893
Raleigh,1.555118343
Richmond,1.291331361
Roanoke,1.247928994
Sacramento,1.621568047
San Diego,1.39816568
San Francisco,1.804201183
Seattle,1.442573964
South Carolina,1.403284024
South Central,1.101242604
Southeast,1.398017751
Spokane,1.445591716
St Louis,1.430621302
Syracuse,1.520325444
Tampa,1.408846154
Total US,1.319023669
West,1.272218935
New Mexico,1.261701493
